sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-07-29;21,14;21,349;20,931;21,349;20,931;21,349;21,165;49944,96480112773;1057093,8;95;
2014-07-28;20,861;20,931;21,489;21,489;20,791;20,931;20,959;61471,607943257935;1288356,2;81;
2014-07-25;21,00;21,489;21,21;21,698;21,00;21,00;21,395;96106,0029801187;2056203,1;155;
2014-07-24;20,791;20,861;20,233;20,861;20,233;20,791;20,602;61134,781141666215;1259475,4;143;
2014-07-23;20,303;20,442;20,233;20,582;19,954;20,303;20,347;40348,98421961048;820986,3;104;
2014-07-22;20,233;20,303;20,024;20,582;19,954;20,233;20,207;35441,34605514221;716163,7;93;
2014-07-21;20,163;20,233;20,233;20,372;20,093;20,233;20,218;57383,82054691929;1160178,4;102;
2014-07-18;20,233;20,303;20,582;20,652;20,233;20,233;20,364;49374,509196729836;1005471,5;79;
2014-07-17;20,582;20,652;20,582;20,861;20,512;20,582;20,624;35384,01383359468;729755,6;53;
2014-07-16;20,582;20,652;21,00;21,21;20,442;20,652;20,838;52894,70759974797;1102224,8;71;
2014-07-15;20,931;21,00;20,442;21,14;20,163;21,00;20,731;141510,25583468232;2933609,2;169;
2014-07-14;20,303;20,372;19,745;20,582;19,745;20,303;20,302;114405,01479255048;2322615,6;175;
2014-07-11;19,745;19,814;19,884;20,024;19,675;19,745;19,864;70240,57122895212;1395288,4;110;
2014-07-10;19,814;19,884;20,372;20,442;19,605;19,814;19,99;140711,90464963304;2812821,1;215;
2014-07-09;20,442;20,582;20,512;20,721;20,233;20,442;20,508;20917,66103161505;428985,4;74;
2014-07-08;20,372;20,442;20,442;20,721;20,303;20,372;20,538;98111,19742874344;2015016,5;161;
2014-07-07;20,442;20,582;20,861;20,931;20,442;20,442;20,749;41868,28809061993;868725,3;89;
2014-07-04;20,861;20,931;21,21;21,21;20,582;20,931;20,973;80988,92946357465;1698621,4;105;
2014-07-03;20,931;21,00;20,233;21,14;20,233;21,00;20,691;161648,19865325102;3344681,5;216;
2014-07-02;20,093;20,163;20,303;20,512;19,884;20,093;20,062;172815,0821051705;3467076,7;188;
2014-07-01;20,233;20,372;20,861;20,861;20,233;20,233;20,471;56285,90850428416;1152205;124;
2014-06-30;20,512;20,652;20,303;20,652;20,163;20,652;20,395;99143,17741659892;2022028,5;235;
2014-06-27;20,303;20,442;20,791;20,791;20,233;20,303;20,403;75851,96241291627;1547611;167;
2014-06-26;20,582;21,07;20,233;21,14;20,233;20,582;20,70;137697,66310177182;2850324,8;207;
2014-06-25;20,163;20,372;20,442;20,582;20,093;20,163;20,268;153313,52694577936;3107346,6;324;
2014-06-24;20,442;20,791;21,349;21,349;20,442;20,442;20,747;123143,87866193222;2554921,5;205;
2014-06-23;21,07;21,14;20,233;21,21;20,163;21,14;20,716;126350,18315197763;2617429;185;
2014-06-19;20,233;20,582;21,349;21,489;20,233;20,233;20,577;384593,14197404;7913268,4;430;
2014-06-18;20,931;21,00;21,698;21,838;20,931;21,00;21,34;155467,78517042767;3317619,2;287;
2014-06-17;21,628;21,698;22,047;22,326;21,559;21,628;21,833;121927,00225958596;2662021,98;204;
2014-06-16;21,977;22,186;22,396;22,466;21,698;21,977;22,07;283568,03438514354;6258311,8;453;
2014-06-13;22,675;22,745;23,721;23,721;22,326;22,745;22,915;366051,90152556996;8387989,2;396;
2014-06-12;23,582;23,721;24,14;24,14;23,582;23,721;23,813;84329,96467425675;2008121,3;149;
2014-06-11;24,14;24,28;24,00;24,768;23,373;24,14;24,079;219456,277639622;5284236,1;236;
2014-06-10;23,861;24,00;24,00;24,419;23,861;24,00;24,141;279088,954576743;6737518;237;
2014-06-09;23,582;23,721;23,024;23,931;23,024;23,721;23,472;129024,73128716975;3028492,6;200;
2014-06-05;22,675;22,814;23,303;23,512;22,675;22,675;23,108;82624,33108321784;1909281,5;181;
2014-06-04;23,233;23,373;23,582;23,931;23,233;23,233;23,535;129047,66417578875;3037176,8;204;
2014-06-03;23,582;23,652;23,931;23,931;23,442;23,582;23,632;135240,9774084603;3195953,2;135;
2014-06-02;23,721;23,861;23,582;24,07;23,582;23,721;23,878;110933,54877784775;2648888,4;178;
2014-05-30;23,512;23,582;23,791;24,07;23,512;23,512;23,654;145590,87670332752;3443768,8;233;
2014-05-28;23,861;24,00;23,024;24,28;22,675;23,861;23,365;167514,71822310166;3914070,3;289;
2014-05-27;23,093;23,163;24,21;24,21;23,093;23,163;23,742;282788,31617209717;6714033,5;373;
2014-05-26;23,931;24,21;24,977;24,977;24,00;24,21;24,533;247907,39258258205;6081863,1;312;
2014-05-23;24,768;24,838;23,024;26,373;20,931;24,768;22,795;2154937,6114736474;48966164,55;1756;
2014-05-22;24,907;25,047;25,605;25,675;24,907;24,907;25,184;167453,08608493808;4217179,4;254;
2014-05-21;25,535;25,745;25,256;26,512;25,117;25,535;25,875;226366,24364163764;5857186,4;305;
2014-05-20;25,326;25,466;25,466;25,814;24,977;25,326;25,325;152800,403562929;3869636,6;249;
2014-05-19;25,535;25,675;24,907;25,884;24,07;25,675;25,069;210063,8264445985;5266039,2;351;
2014-05-16;24,698;24,977;25,117;25,675;24,698;24,698;25,157;133007,88737918416;3346027,2;192;
2014-05-15;24,977;25,466;24,838;25,466;24,419;25,466;24,986;93877,21286745861;2345623,8;187;
2014-05-14;24,559;24,768;24,768;25,047;24,489;24,768;24,728;49021,916034212554;1212209,7;146;
